County Name,Unemployment Rate,Median Household Income,Pop. Below Poverty Line,Ratio of Income 80th vs 20th Percentile:,Banking Institutions Per 10000 Pop.,Household Spending <30% of income on housing,High-Speed Internet,Preschool Enrollment,On-time HS Graduation,Associate Degree or Higher,Violent Crime per 100000 Pop.,Youth Not In School Or Working,Primary Care Providers Per 100000 Pop.,Grocery Stores and Supermarkets per 10000 Pop.
"Wilkin, Minnesota",2.6,47275,9.2,4.1,10.9,76.1,3,None,51,27.7,121.8,None,81.5,2.7
"Winona, Minnesota",3.2,44430,15,4.9,3.9,68.7,4,42.2,82,37.8,104.5,5,95.6,1
"Wright, Minnesota",3.7,67016,6.5,3.4,2.7,69.8,4,41.6,88,38.8,75.7,8.1,77.2,0.9
"Yellow Medicine, Minnesota",3.5,49149,12.2,3.7,8.9,80.6,4,39.3,96,29.5,114.9,None,98.4,4.9
"Adams, Mississippi",6.7,25629,28.4,5.3,5.3,61.3,3,74.7,61,25.2,337.6,23.4,190.4,1.2
"Alcorn, Mississippi",4.7,31450,20.8,4.8,4.8,70,2,42.1,81,26.1,None,20.5,168.6,1.9
"Amite, Mississippi",4.7,28782,25.7,5.2,2.4,69.5,3,None,92,21.9,57,None,41.5,0
"Attala, Mississippi",7,29616,27.7,5.5,6.2,74,2,49.8,81,24,None,21.1,72.4,1.6
"Benton, Mississippi",6.6,29072,24.1,5.3,3.5,65.1,3,None,80,25.5,84.5,None,38.8,0.7
"Bolivar, Mississippi",7.1,26769,34.3,5.7,5.6,64.4,3,86.6,75,26.5,263.3,24,99.9,2.4
"Calhoun, Mississippi",5.3,28080,23.7,4.7,5,74.2,3,None,90,35.4,97.2,None,79.3,4
"Carroll, Mississippi",6.1,29053,24.4,6.5,2.6,61.7,2,None,63,22.1,473.6,25,155,5.6
"Chickasaw, Mississippi",2.6,29073,25.3,4.3,26.2,86.9,3,None,None,24.6,68.4,22.1,43.6,4.4
"Choctaw, Mississippi",5.7,27964,24.1,5.2,2.4,68,2,62.6,78,20.8,156.5,None,47.7,4.8
"Claiborne, Mississippi",12,22173,33.1,6.1,3.3,64.1,3,80.7,88,27.3,502.6,None,43.6,3.3
"Clarke, Mississippi",5.1,29355,23.4,5.7,4.3,76,3,None,84,18.5,39.2,21.9,54.2,2.2
"Clay, Mississippi",4,28795,26.4,6,5,75.6,3,None,99,22.7,33.9,25.5,50.4,3.4
"Coahoma, Mississippi",9.6,24717,38.2,6.3,6,61.3,2,68,61,26,716.8,21.7,182.8,3.6
"Copiah, Mississippi",6.3,33154,26.3,5.8,4.2,71.9,2,69,76,22.7,None,23.4,55.6,1.4
"Covington, Mississippi",4.7,31245,29.9,5.7,7.2,73.3,3,None,None,23.5,None,None,0,7.2
"DeSoto, Mississippi",4,54761,9.8,3.7,4.1,72,4,38.6,86,30.4,176.4,14,69.5,1
"Forrest, Mississippi",5.5,34376,27.6,5.8,6,60.5,3,51.2,78,33.8,176.4,12.4,221.5,2.2
"Franklin, Mississippi",3.6,30300,23,4.8,13,82,4,None,None,23.6,40.1,None,64.8,6.5
"George, Mississippi",6.1,41145,18.6,4.6,1.7,79.8,3,48.7,82,18.1,63.7,30.9,56.1,0.9
"Greene, Mississippi",3.7,34527,18.2,4.4,8.4,72.7,3,None,None,25.2,81.2,40.4,0,8.4
"Grenada, Mississippi",5.2,31945,21.9,5.7,5.6,63.2,3,71.3,68,22.4,394,None,148.5,1.9
"Hancock, Mississippi",5.7,41673,18.7,5,3.7,67.4,4,46.1,82,29.8,None,18.1,65.8,0.7
"Harrison, Mississippi",5.2,40364,19.9,4.7,5.3,62.6,4,34,79,30.2,232.7,16.5,198.4,0.9
"Hinds, Mississippi",5.2,35218,25.3,5.4,4.8,61.2,3,57.5,69,34.8,732,15.9,516.3,1.4
"Holmes, Mississippi",11.3,20896,43.5,5.4,4.8,62.1,2,63.4,67,17.9,None,23.2,69.3,2.7
"Humphreys, Mississippi",11.6,22090,44.9,5.3,4.5,57.5,2,55.4,83,15.2,None,35.1,56.1,3.4
"Issaquena, Mississippi",13.4,23182,32.5,4.4,7.8,80,3,None,None,20.3,None,None,62.5,7.8
"Itawamba, Mississippi",5,33764,15.7,4.5,2.6,77.4,3,64,81,22.4,121.6,None,25.6,2.1
"Jackson, Mississippi",6.5,45811,15.9,4.4,4,67.9,4,43.1,79,29.9,323.3,16.7,197.5,1.4
"Jasper, Mississippi",6.6,29175,22.1,4.9,3.6,68.9,2,55.2,81,20.2,None,20.5,12.1,1.8
"Jefferson, Mississippi",5.6,24362,40,5.2,4.8,74.8,3,None,93,16.6,111.1,None,72.1,3.2
"Jefferson Davis, Mississippi",7.3,25446,27,5.3,2.5,64,2,76.8,73,20.2,None,None,25.1,0.8
"Jones, Mississippi",4.9,35637,23,4.8,3,71.7,3,32.7,74,26.5,276.5,25.2,121.9,1.6
"Kemper, Mississippi",4.9,27147,33.3,5.8,2.8,71.9,3,None,85,16.1,153.9,None,56.6,0.7
"Lafayette, Mississippi",4.2,40555,25.6,6.6,5.8,62.3,4,66.3,84,43.6,None,None,196.2,1.2
"Lamar, Mississippi",4,47880,17.4,4.9,4.2,69.1,3,55.1,82,42.4,75.7,9.9,425.5,1.4
"Lauderdale, Mississippi",6.2,33886,24.1,5.3,5.6,68,3,58.7,69,28.5,328.8,21.3,281.3,1.5
"Lawrence, Mississippi",6.3,35936,18.8,5.5,3.2,73.1,2,70.5,83,20.8,None,24.1,40,3.2
"Leake, Mississippi",5.4,30440,27.7,5.6,3,71.9,2,42.4,78,18.6,33.5,34.1,34.3,1.3
"Lee, Mississippi",5.2,39381,18.3,4.7,5.7,69.1,3,44.9,70,30.4,135.6,19.5,355.8,1.9
"Leflore, Mississippi",9.5,22913,40.4,6.1,5.7,58,3,66.7,70,23.8,601.9,22.3,164.6,2.8
"Lincoln, Mississippi",5.2,34162,23.5,4.8,3.7,72.1,2,53.6,70,26.8,133.5,20,126.6,0.9
"Lowndes, Mississippi",6.6,35445,25.4,5.8,4.7,61.6,3,60.5,74,29.2,230.5,16.9,178.6,1.5
"Madison, Mississippi",3.8,56070,12.7,5.1,6.3,70.8,4,70.2,82,52.2,113.3,10.7,568.6,2
"Marion, Mississippi",6.8,27518,28.2,5.9,4.2,68.7,2,60.5,73,21.5,193.5,27.9,68.8,1.9
"Marshall, Mississippi",6.2,33717,22.2,5.1,3.8,64,2,34,68,15.3,None,21.6,16.4,1.1
"Monroe, Mississippi",7.2,33984,21.6,4.9,5,74,3,46.4,75,20.7,None,22,72,1.9
"Montgomery, Mississippi",6.5,28516,31.1,4.8,5.7,68,3,68.5,74,18.7,None,40.1,56.9,1.9
"Neshoba, Mississippi",4.8,34679,24.1,4.7,5.8,72.3,2,46.1,77,21.7,None,22.5,78.1,1
"Newton, Mississippi",3.7,36682,18.6,4,4.7,78,3,None,None,25.4,46.9,None,62.3,4.7
"Noxubee, Mississippi",2.3,22780,34.6,5.3,7.7,79.2,4,None,None,21.7,None,24.8,38.4,3.8
"Oktibbeha, Mississippi",5.1,29004,33.7,7.6,4.9,57.7,3,61,66,49.2,181.1,None,127.8,0.8
"Panola, Mississippi",8.3,33429,25.3,5,4.1,68.3,2,53.4,63,23.7,340.7,33.5,61,0.9
"Pearl River, Mississippi",5.2,39789,22.2,5.4,3.5,70.7,3,48.1,80,23.8,163,18.1,52.8,1.6
"Perry, Mississippi",6.1,33812,21,4.7,8.4,73.7,3,None,88,22.7,248.4,19.7,21,3.1
"Pike, Mississippi",6.1,32611,27.5,5.4,5.7,67.9,3,59.7,72,23.8,283.1,27.6,157.4,2.2
"Pontotoc, Mississippi",3.2,37346,14,4.7,12.5,79.9,4,None,None,31.7,107.2,20.1,124.7,4.2
"Prentiss, Mississippi",5.3,30423,24.2,4.4,5.1,73.7,2,51,84,21.2,None,18.4,86.5,2.8
"Quitman, Mississippi",10,21400,40.7,4.9,3.8,59,2,61,68,22.9,None,33.5,25.6,2.6
"Rankin, Mississippi",3.4,53708,11.5,4.1,4.4,74.9,4,58,83,37.5,107.9,18.6,288.9,1.1
"Scott, Mississippi",3.4,32324,24.7,4,5.1,75.1,3,None,86,32.9,335.5,21.1,75.1,1.4
"Sharkey, Mississippi",8.3,32877,31.2,4.5,6.4,69.1,2,84,68,28.2,72.1,None,42.7,4.3
"Simpson, Mississippi",4.8,35907,22.6,4.8,3.6,74.3,2,60.9,77,22.3,223.6,34.9,43.7,1.8
"Smith, Mississippi",4.5,32529,23.6,5.3,3.7,73.2,2,48.6,79,19.5,None,34,24.7,1.2
"Stone, Mississippi",2.8,40213,18,5.1,4.2,85,4,None,91,18.6,518,None,47.6,0.6
"Sunflower, Mississippi",10,24915,36.1,5.6,5.4,63.7,3,75.3,69,18.3,503.2,30.3,42.9,2.5
"Tallahatchie, Mississippi",6.4,27942,30.2,4.9,3.3,70.7,2,47.3,66,17.7,None,42.3,6.6,2
"Tate, Mississippi",3.7,38838,18.5,4.7,5.8,80.6,3,None,91,24.6,14.2,19.3,33.6,1.9
"Tippah, Mississippi",2.2,32419,25.5,4.7,16.5,73.2,4,None,None,27.9,None,18.4,61.8,8.2
"Tishomingo, Mississippi",7.6,30506,17.6,4.2,3.4,74.9,2,None,73,20.1,199.3,17.2,34.2,2.9
"Tunica, Mississippi",2.8,29434,30.3,4.2,3.4,79.4,4,None,None,39.2,122.2,None,67,6.7
"Union, Mississippi",4.5,35917,23.5,4.3,2.9,71.2,2,52.2,85,22.3,35.5,22.5,72.1,1.4
"Walthall, Mississippi",3.2,29100,25.3,6.9,5.5,80.8,3,None,95,23.8,180.4,None,34.2,2.1
"Warren, Mississippi",6,38399,24.4,5.6,4.8,67.3,3,73.3,56,32.8,389.9,22.5,142.9,1.4
"Washington, Mississippi",9.6,26295,37.3,5.3,5.2,60.9,3,58.9,55,25.2,295.5,30.4,139,2.4
"Wayne, Mississippi",7.2,28010,28.4,5.6,4.4,69.5,2,73.7,76,15.7,None,None,58.5,2
"Webster, Mississippi",9.1,31379,24.9,6,0,82.6,2,None,None,27.8,None,26.9,0,31.5
"Wilkinson, Mississippi",3.5,31467,27.8,6.1,5.3,79.1,4,None,82,22.5,105.1,47.6,17.7,3.5
"Winston, Mississippi",7.8,28849,29.8,5.2,4.8,67.3,2,65.8,73,25.2,109.4,29.7,37.4,1.6
"Yalobusha, Mississippi",5,30823,22.2,5,8,82.2,3,None,95,22.1,39.2,None,20,2
"Yazoo, Mississippi",7.1,24651,35.5,6.3,3.9,60,2,56.3,64,17.9,None,32,39.3,1.8
"Adair, Missouri",5.5,32510,23.7,5.9,3.9,67.3,4,39,92,33.5,397.9,None,42.8,1.2
"Andrew, Missouri",7.5,50859,8.2,3.8,4.7,71.1,4,None,88,21,140.7,None,37.8,2.8
"Atchison, Missouri",1.8,41583,11.6,4.1,7.2,85.4,5,None,None,30,236.5,None,0,2.4
"Audrain, Missouri",5.4,40260,17,3.7,5.9,76.6,3,37.8,83,19.4,181.1,23.5,128.7,2.3
"Barry, Missouri",5.5,36233,19.1,3.7,7,74.8,3,38,91,19.4,268.8,23.1,61.7,2.5
"Barton, Missouri",5.1,37983,18.7,4.6,4.9,72.9,3,None,None,28.7,140.3,None,48.7,1.9
"Bates, Missouri",6.8,36110,18.6,4.9,6.7,67.7,3,48.8,89,17.9,302.7,13.8,12.1,2.4
"Benton, Missouri",3.1,30842,20.1,4.3,4.8,78.6,2,None,None,22.4,332.7,26.6,30.1,4.2
"Bollinger, Missouri",6.9,35302,19.9,4.9,5,68.9,3,None,93,16.1,103.3,None,58.9,2.5
"Boone, Missouri",3.7,45515,20,5.4,4.6,66.2,4,50.4,86,53.7,407.9,5.2,764.1,2
"Buchanan, Missouri",5.2,41524,17,4.4,3.8,69.9,4,49.4,92,25.3,364.9,14.7,199.5,1
"Butler, Missouri",6.5,32731,21.2,4.5,5.3,70.2,3,42.1,80,21.6,491.1,26.7,234.9,1.9
"Caldwell, Missouri",5.9,38534,14.3,4.3,4,71.5,2,None,80,18.1,236,None,35.5,2.2
"Callaway, Missouri",5.1,44894,13,4.1,4.3,75.2,3,39.8,82,27.9,265.6,14.4,58.4,0.9
"Camden, Missouri",7.1,40677,16.1,3.8,5.7,71.1,4,46,92,28.4,191.3,15,120.9,2.1
"Cape Girardeau, Missouri",4.7,43539,15.8,4.3,5.7,72.2,4,47.3,87,32.6,421.2,9.1,354.7,1.3
"Carroll, Missouri",6.6,43058,13.6,4.3,2.4,70.5,3,None,83,21.2,234.1,15.7,39.2,3.1
"Carter, Missouri",3.9,28981,21.9,5.5,5.8,63,4,None,83,40.6,55.4,None,97.1,1.9
"Cass, Missouri",5.2,56488,8.9,3.6,3.4,72,4,47.3,89,31.4,166.4,13.7,36.7,1.1
"Cedar, Missouri",7.3,28363,23.3,4.6,4.4,68.2,4,None,88,13,91.7,None,44,3.5
"Chariton, Missouri",4.7,36864,16.5,4.5,9.1,80.2,4,49.8,None,17.4,312.9,16.1,13,2.6
"Christian, Missouri",4.6,49456,10.6,3.7,4.5,72.8,4,35.9,94,33.1,214.7,17.8,101.5,1.6
"Clark, Missouri",7.1,37631,17.6,4.5,2.6,60.6,4,None,63,25,504.6,None,171.2,1.3
"Clay, Missouri",4.8,57036,9,3.6,4.2,73.1,5,40.9,89,38.6,None,12.1,151.7,1.3
"Clinton, Missouri",4.9,50381,10.2,3.6,3.9,72.3,3,57.2,88,24.3,289.4,None,68.3,1.5
"Cole, Missouri",4.4,50480,13.3,4.1,5.5,76.5,4,39,72,38.1,387.5,13.9,195.7,1.6
"Cooper, Missouri",6.4,43049,17.8,4.4,7.9,76.8,3,55.9,91,26.3,126.5,27,45.3,0.6
"Crawford, Missouri",3.8,33600,21.1,4.3,4.9,78.3,3,None,93,21.9,163.6,21.4,87.2,1.1
"Dade, Missouri",4.3,33212,20.6,4.6,4.2,74.6,4,None,88,28.4,140.1,None,36.6,1.6
"Dallas, Missouri",9.8,37552,22.8,3.6,6,72.9,2,None,87,15.5,256.3,None,12.1,2.4
"Daviess, Missouri",6.1,39680,14.7,3.8,4.2,73.5,3,None,93,17.3,248.4,16.2,78,1.8
"DeKalb, Missouri",4.7,41270,9.9,4.4,9,60.8,4,None,76,33.5,167.1,25.4,222.1,2.9
"Dent, Missouri",4.5,33987,20.9,4.2,8.8,77.2,3,None,None,20.9,9.9,None,59,4.4
"Douglas, Missouri",4,30074,22.6,3.6,10.5,79,4,None,None,35.1,192.6,None,42.1,6.3
"Dunklin, Missouri",5.7,29301,25.6,4.7,4.7,75,4,None,97,23.7,71.9,29.1,35.5,2.4
"Franklin, Missouri",5.7,45730,12.5,4,4.6,70.9,3,34.4,85,27,192.2,13,123.8,1.9
"Gasconade, Missouri",6.4,38743,14.8,4.3,2.8,73.7,2,None,83,15,50.1,None,35.1,2.8
"Gentry, Missouri",8.9,36684,17.2,3.9,1.6,71.6,3,None,62,11.4,221.1,None,10.9,2.2
"Greene, Missouri",4.7,37756,18.7,4.3,5.7,66.2,4,39.9,88,35.5,582.1,10.8,295.1,1.4
"Grundy, Missouri",3.5,35534,15.8,4.4,10.3,72.8,3,None,80,33.3,103.4,None,103,3.4
"Harrison, Missouri",5.5,35324,16.3,4.4,4.5,80,3,None,83,28.8,212.2,None,15,4.5
"Henry, Missouri",4.9,37289,18.1,4.1,11.6,74.1,5,None,None,28.1,58.8,15.1,116.2,5.8
"Hickory, Missouri",5.2,27448,21.6,4,3.3,63.1,5,None,87,26.8,194.2,None,36.9,4.9
"Holt, Missouri",8.5,40228,12.3,3.6,3.7,74.8,3,None,None,38.4,71.6,None,0,7.3
"Howard, Missouri",5.8,40011,18.2,5.1,7.4,58.7,3,None,75,30.1,365.9,None,209.2,2.5
"Howell, Missouri",5.8,30451,23.8,4.7,3.6,78,3,None,63,16.5,142.5,17.2,0,3.6
"Iron, Missouri",8.6,34058,23.7,4.4,5.8,75.1,3,43.3,89,17.8,319,28.2,29,3.9
"Jackson, Missouri",6.7,44006,17.4,4.8,4.3,64.1,4,41.8,79,34.3,814.9,16,289.7,1.6
"Jasper, Missouri",4.8,37814,18.4,4.3,5.2,68.8,3,39.4,84,26.8,404.6,12.9,64.4,1
"Jefferson, Missouri",5.5,51335,11.3,3.8,2.8,72.4,4,47.6,90,27.3,237.5,12.4,40.7,1.1
"Johnson, Missouri",5.7,44201,17.6,4.2,4.4,67.1,4,47.2,92,34.8,149.1,8.6,73.4,1.1
"Knox, Missouri",2.5,32274,26.3,5.4,12.4,81.1,4,None,None,23.5,99.8,None,17.7,3.5
"Laclede, Missouri",6.5,36516,19.7,3.9,4.2,70.5,3,38,89,17.7,592.1,19.2,64.5,1.4
"Lafayette, Missouri",5.3,47293,9.5,3.7,5.5,76.5,3,49,94,23.2,116.6,15,30.4,2.7
"Lawrence, Missouri",6.1,36817,18.6,4.2,5.6,66.9,4,None,85,29.5,106.1,17.9,177.6,2.7
"Lewis, Missouri",5.4,39379,15,4.1,7.9,78,3,44.6,88,17,52.2,None,9.9,2
"Lincoln, Missouri",5.7,49454,13.6,3.7,3.3,69.9,4,42.7,89,22.1,218.9,15.9,9.3,1.5
"Linn, Missouri",7.1,35802,15.1,4.6,8.9,76,4,45.2,89,17.6,199.2,None,40.5,2.4
"Livingston, Missouri",8.9,37549,17.8,4.5,4.2,66.9,2,None,68,15.8,191.6,15.7,53.9,2.4
"McDonald, Missouri",5.1,35565,21.8,4.7,4.9,71.6,3,38.9,90,16.9,493.7,17.5,13.3,2.7
"Macon, Missouri",5.8,35983,16.2,4.1,6.4,76.9,3,40.9,86,22.6,213.6,None,25.8,2.6
"Madison, Missouri",5.8,33574,21.4,3.5,6.5,72,3,None,93,23.5,177.4,None,40.8,1.6
"Maries, Missouri",5.3,39842,16.7,4.1,7.9,75.7,2,None,None,20.3,152.4,None,39.7,2.6
"Marion, Missouri",4.8,39355,16.2,4.2,8.3,75.4,3,46.7,91,25,240.2,12.7,193.8,2.1
"Mercer, Missouri",5.5,37695,20.3,4.3,10.3,78.4,4,None,None,15.7,123,None,22.9,3.4
"Miller, Missouri",2.7,33235,20.9,4.7,13.3,83.2,4,None,91,28.7,21.9,15.9,22.1,8.8
"Mississippi, Missouri",4,27881,26.9,4.7,5.8,73.4,2,None,86,14.7,158.3,27.1,40.5,2.3
"Moniteau, Missouri",5.5,44103,11.4,4.7,3,73.6,2,None,83,20.3,506.2,23.2,14.9,1
"Monroe, Missouri",6.8,38055,14.7,3.5,19.9,68.4,4,None,93,32,91.2,None,697,7.5
"Montgomery, Missouri",5.5,37661,17.5,4.4,4.3,72.4,3,None,93,14.4,56.3,None,12.4,4.3
"Morgan, Missouri",7.2,32570,23.4,4.3,5.6,76.3,3,None,82,22.4,68.1,32.4,148.3,1.7
"New Madrid, Missouri",5.4,33502,21.7,5.3,5.6,73.7,4,None,82,22,293.2,27,136.4,1.1
"Newton, Missouri",5,39563,15,4.1,6,73.3,3,37.4,89,26.3,241.8,15.3,330,1
"Nodaway, Missouri",5,34296,28.4,4.8,3.9,68.1,4,38.5,88,28.3,184.8,None,124.8,0.4
"Oregon, Missouri",6.1,25968,27.7,4.4,5.1,66.4,3,None,70,22.2,415.6,21.5,212.4,2.2
"Osage, Missouri",2.6,48118,8.7,3.5,4.8,83,4,None,None,23.8,232.2,None,48.4,4.8
"Ozark, Missouri",4.7,30025,20,3.5,4.1,74.2,2,None,91,21.8,63.1,None,27.4,1.4
"Pemiscot, Missouri",9.9,27040,29.3,5.4,3.9,62.9,3,66.5,79,16.3,769.1,22.1,61.7,5.1
"Perry, Missouri",4.7,44812,12,3.7,4.7,75.5,3,59.2,93,20.8,168.2,None,47.1,2.1
"Pettis, Missouri",5.4,36111,18.4,4.1,4.7,68.5,4,35.5,94,26,357.2,13.7,111.4,1.4
"Phelps, Missouri",3.9,39278,18.1,4.6,2.6,78.5,3,None,88,22.8,64.8,7,58,1.9
"Pike, Missouri",4.9,37300,15.1,4.7,4.8,75.4,3,42.7,84,13.6,178.8,24.6,32.2,0.5
"Platte, Missouri",4.4,63387,7.4,4,4.8,70.6,5,45.8,92,46.5,184.1,6.6,217.7,1
"Polk, Missouri",9.7,36983,23.6,4.6,2.6,71.3,3,None,None,26.2,108.8,17.7,65.2,6.5
"Pulaski, Missouri",6.4,46632,12.8,3.7,4.3,73.2,4,35.8,85,32.6,318.7,6.1,48.4,0.9
"Putnam, Missouri",7.2,34363,18.8,4.8,6.7,69.4,4,None,74,21.5,205.7,None,63,2.8
"Ralls, Missouri",6.1,44899,9.9,3.1,2.3,71.6,2,None,58,17.8,None,None,38.8,0.8
"Randolph, Missouri",9.4,34822,19.4,4.6,5.4,58.2,2,None,68,18.6,None,21.2,18.1,2.7
"Ray, Missouri",3.7,49325,11.6,3.9,12.7,78.5,3,None,None,29.8,103.6,13.4,84.4,4.2
"Reynolds, Missouri",6.9,32288,24.4,4.6,3,68.9,4,None,78,27,380.9,34.6,50.3,1
"Ripley, Missouri",3.2,30224,24.6,3.7,4.1,76.8,5,None,None,28.9,114.1,None,20.5,2
"St. Charles, Missouri",4.3,66528,5.8,3.5,3.7,73.4,5,51.4,90,43.5,149.9,8,100.6,1.3
"St. Clair, Missouri",1.9,29521,21.8,4.3,14.2,85.7,4,None,None,28.5,None,None,56.9,2.8
"Ste. Genevieve, Missouri",1.8,45333,11.9,4,6.1,83,4,None,92,35.6,86.4,None,45.8,4.6
"St. Francois, Missouri",6.7,34855,19.4,4.8,4.2,70.6,3,25,89,21.8,260.8,29.6,101.2,2
"St. Louis, Missouri",5.3,55140,10.9,4.7,4.7,68.2,4,59.6,86,47.9,311.9,11,503.2,1.9
"Saline, Missouri",5.2,36990,18.6,3.9,6.9,70.3,3,38.1,85,23,210.5,13.9,64.5,2.6
"Schuyler, Missouri",6.2,32468,24,3.9,5.5,69.2,3,None,77,18.7,564.9,None,63.3,1.6
"Scotland, Missouri",7.2,36530,18.2,4.5,3.1,77.7,3,None,63,18.8,284.3,None,22.3,1.8
"Scott, Missouri",5.6,38049,19.1,4.7,4.6,75.8,3,55.7,91,18.2,901.2,15.9,112.2,2.8
"Shannon, Missouri",7.4,29140,25.2,4.3,4.6,74,4,None,93,21.3,342.6,17.8,122.7,6.1
"Shelby, Missouri",5,33638,18.4,4.2,9.7,74.3,4,50,None,18.3,104.9,None,16.2,3.2
"Stoddard, Missouri",2.7,35535,15,4.6,5.4,78.6,5,None,86,27.5,188.1,22.9,125.1,2.7
"Stone, Missouri",8,38236,17.1,4,3.4,58.4,3,None,62,21.4,251.7,None,67.3,1.9
"Sullivan, Missouri",3.3,34329,17,4.3,11.3,79.7,3,None,None,28.6,None,None,42.5,4.2
"Taney, Missouri",6.9,36000,18.8,4.1,3.3,69.4,3,None,83,19,214.6,None,20.4,1.6
"Texas, Missouri",7.2,33773,21.4,4.1,3.9,75.5,3,40.8,87,16.8,81.3,22.8,42.9,2
"Vernon, Missouri",5.2,36204,21,4.1,5.2,71.5,3,52.4,83,20.5,430.6,None,81.1,1
"Warren, Missouri",5.4,47577,13.4,3.7,4.5,73.2,4,39.4,92,23.7,277.5,12.8,12.1,1.8
"Washington, Missouri",7.8,32481,23.4,4.4,4.7,70.4,4,None,86,22.6,281.3,24.7,136.7,1.6
"Wayne, Missouri",7.4,31037,21.9,4.1,4,68.5,2,None,72,15.2,202.3,25.3,40.4,2.3
"Webster, Missouri",5.4,41742,18.9,4,4.1,74.7,3,38,91,22.2,125.6,23.7,8.2,1.4
"Worth, Missouri",7.4,36830,13.2,4.2,1.8,76.5,3,None,None,14,299.9,None,0,0
"Wright, Missouri",6.8,26812,27.5,4,7.1,69.3,3,32.7,96,16.5,222.7,26.8,38,2.7
"Beaverhead, Montana",4.8,38951,15.1,4.3,4.5,69.6,3,None,93,20.6,106.4,None,100.1,1
"Big Horn, Montana",6.4,37408,25.5,5.1,1.5,76,3,50,65,25.6,199.9,27.3,121.8,3
"Blaine, Montana",5,34773,28.8,4.8,6.1,72.9,4,46.4,None,25.5,237.4,33.6,60.8,7.6
"Broadwater, Montana",4.6,42992,None,None,5,75.6,4,None,87,12.6,26.3,None,10,2
"Carbon, Montana",6.4,44770,11.1,4.6,7.8,71.8,3,None,None,18.6,203.7,None,0,4.7
"Carter, Montana",3.8,37121,13.7,None,4.4,78.7,4,None,77,26.7,268.3,None,57,1.9
"Cascade, Montana",3.6,42085,14.9,4.3,4.1,71.5,4,32.9,79,33.9,230.7,14.2,230.6,1.5
"Chouteau, Montana",2.6,37506,21.7,4,6.8,80.6,4,52.3,None,32.5,125.6,23,17.1,5.1
"Custer, Montana",4.9,40739,13.3,4.4,1.4,70.9,3,None,58,16.1,414.1,None,21,1.4
"Daniels, Montana",6.6,43150,None,4.1,5.4,56.6,3,None,78,27.7,261.3,None,170.1,2.7
"Dawson, Montana",5.2,47179,16,4.3,2.4,74.2,3,None,78,23.6,139.6,None,69,2
"Deer Lodge, Montana",5.7,36465,20.5,4.5,6.5,76.6,3,None,82,25.3,108.7,None,136.3,2.7
"Fallon, Montana",6.1,47890,None,3.6,7.4,81.5,4,None,None,31.7,162.4,None,133.2,1.5
"Fergus, Montana",4.5,35890,13.8,4.3,5.2,71.7,3,None,97,26.9,122.5,None,37.6,1.4
"Flathead, Montana",5.5,43600,14.2,4.1,4.6,61.2,4,37,85,36.3,297.9,16.1,252.3,1.9
"Gallatin, Montana",2.9,49452,14.1,4.2,4.3,63.9,4,44.8,86,52,192.9,5.5,223.9,2.1
"Garfield, Montana",5.5,42210,None,4.5,4.8,69.1,3,None,89,24.3,400.6,0,112.6,1
"Glacier, Montana",8.9,31374,33.7,5,2.9,74.8,3,59.8,72,30.5,273.2,22.7,94.2,4.3
"Golden Valley, Montana",2.7,36797,None,3.9,6.4,86.5,4,None,None,31.6,66.9,None,0,6.4
"Granite, Montana",3.8,42341,15.1,3.8,9,79.6,4,None,None,27.5,125.2,None,30,4
"Hill, Montana",3.9,40928,18.9,4.8,4.8,71.8,4,46.7,75,35,481.1,12.3,132.5,0.6
"Jefferson, Montana",4.4,56968,7.8,3.6,6.8,73,4,None,88,26.1,159.5,19.7,58.1,2.9
"Judith Basin, Montana",5.2,39248,12.4,4,3.8,69.4,3,None,90,19.4,379.3,None,97.6,1.8
"Lake, Montana",4.6,35586,22.4,4.9,3.8,65,4,28,87,33.4,392.4,28.7,120.6,2.8
"Lewis and Clark, Montana",3,52644,10.4,3.6,5.1,72.2,4,37.3,83,46.6,311.3,10.3,225,1.5
"Liberty, Montana",6.4,41646,21,None,3.7,81.2,2,None,94,18.3,359.2,None,37.3,1.4
"Lincoln, Montana",5.3,31200,17.9,4.4,2.7,74.6,2,None,86,17.1,163.5,20.4,27.5,2.7
"McCone, Montana",6.5,43680,None,4.5,1.8,60.5,2,None,None,13.7,575.5,None,36,1.8
"Madison, Montana",6.5,44705,8.7,3.9,7.8,68.2,3,None,63,12.6,175.1,None,0,0
"Meagher, Montana",2.7,35738,None,None,12.6,82.9,4,None,None,30.4,123.5,None,41.9,4.2
"Mineral, Montana",3.2,30919,None,4,3,74.7,4,None,100,25.9,162.2,None,54.8,0.5
"Missoula, Montana",3.6,43166,16.5,4.8,4.7,59.9,4,41.6,88,47.2,281.4,10,316.7,1.8
"Musselshell, Montana",3.2,40631,13,5,10.8,77.9,3,None,None,30.3,71.4,None,71.7,4.8
"Park, Montana",4.9,39711,12.3,4.2,6,76.2,4,None,85,31.6,120.6,None,81.9,4.4
"Petroleum, Montana",3.5,39036,None,None,9.2,81.4,4,None,None,23.7,111.5,None,92.3,0
"Phillips, Montana",5.2,39904,14,4.8,7.2,84.1,3,80,None,27.4,202.7,None,23.9,4.8
"Pondera, Montana",8.9,38635,17.5,3.9,5.4,67.9,3,None,58,17.4,None,None,42.8,4.3
"Powder River, Montana",2.8,43290,None,4.9,7.8,77.4,3,None,None,21.3,331.9,None,58.3,1.9
